Player,Rec,Yds,TD,20+,40+,Lng,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Kirk Merritt,1,13,0,0,0,13,1,1.0,0,0,3
Andy Isabella,1,13,0,0,0,13,1,1.0,0,0,1
Derek Carrier,2,13,0,0,0,9,0,0.0,0,0,2
Dwayne Washington,2,12,0,0,0,6,0,0.0,0,0,2
Luke Stocker,2,12,0,0,0,7,0,0.0,0,0,2
Qadree Ollison,4,12,0,0,0,8,1,0.25,0,0,5
Reggie Bonnafon,2,12,0,0,0,6,1,0.5,0,0,2
C.J. Saunders,2,11,0,0,0,8,1,0.5,0,0,2
Richard Rodgers,2,11,0,0,0,9,0,0.0,0,0,2
Stanley Morgan,2,11,0,0,0,8,0,0.0,0,0,4
Anthony McFarland,1,11,0,0,0,11,1,1.0,0,0,1
